root,x,y,z,length,forms,notes
آكر,1,23,11,3,3,"['1', '3', '5']"
آمت,1,25,4,3,5,"['1', '2', '5', '8', '10']"
اب,2,3,0,2,3,"['1', '8', '10']"
ابد,2,3,9,3,3,"['1', '2', '5']"
ابر,2,3,11,3,4,"['1', '2', '5', '8']"
ابض,2,3,16,3,2,"['1', '5']"
ابط,2,3,17,3,2,"['1', '5']"
ابق,2,3,22,3,2,"['1', '5']"
ابل,2,3,24,3,5,"['1', '2', '4', '5', '8']"
ابن,2,3,26,3,3,"['1', '2', '5']"
ابه,2,3,27,3,4,"['1', '2', '4', '5']"
ابو,2,3,28,3,4,"['1', '2', '5', '10']"
ابى,2,3,29,3,3,"['1', '4', '5']"
اتب,2,4,3,3,4,"['2', '5', '8', '9']"
اتم,2,4,25,3,3,"['1', '2', '4']"
اتن,2,4,26,3,2,"['1', '10']"
اتو,2,4,28,3,2,"['1', '4']"
اتى,2,4,29,3,6,"['1', '2', '3', '4', '5', '10']"
اث,2,5,0,2,3,"['1', '2', '5']"
اثر,2,5,11,3,6,"['1', '2', '4', '5', '8', '10']"
اثف,2,5,21,3,5,"['1', '2', '4', '5', 'Q.Q.1']"
اثل,2,5,24,3,3,"['1', '2', '5']"
اثم,2,5,25,3,4,"['1', '2', '4', '5']"
اج,2,6,0,2,4,"['1', '2', '5', '8']"
اجر,2,6,11,3,5,"['1', '3', '4', '8', '10']"
اجل,2,6,24,3,5,"['1', '2', '3', '5', '10']"
اجم,2,6,25,3,4,"['1', '2', '4', '5']"
اجن,2,6,26,3,1,['1']
احد,2,7,9,3,3,"['2', '8', '10']"
احن,2,7,26,3,2,"['1', '3']"
اخذ,2,8,10,3,6,"['1', '2', '3', '4', '8', '10']"
اخر,2,8,11,3,3,"['2', '5', '10']"
اخو,2,8,28,3,6,"['1', '2', '3', '4', '5', '6']"
اد,2,9,0,2,2,"['1', '5']"
ادب,2,9,3,3,6,"['1', '2', '4', '5', '10', '1']"
ادم,2,9,25,3,5,"['1', '2', '4', '8', '10']"
ادو,2,9,28,3,4,"['4', '5', '6', '10']"
ادى,2,9,29,3,4,"['2', '4', '5', '10']"
اذن,2,10,26,3,5,"['1', '2', '4', '5', '10']"
اذى,2,10,29,3,3,"['1', '4', '5']"
ار,2,11,0,2,1,['1']
ارب,2,11,3,3,5,"['1', '2', '3', '4', '5']"
ارث,2,11,5,3,3,"['1', '2', '5']"
ارج,2,11,6,3,3,"['1', '2', '5']"
ارخ,2,11,8,3,3,"['1', '2', '3']"
ارش,2,11,14,3,3,"['1', '2', '8']"
ارض,2,11,16,3,5,"['1', '2', '4', '5', '10']"
ارط,2,11,17,3,3,"['1', '2', '4']"
ارف,2,11,21,3,1,['2']
ارق,2,11,22,3,4,"['1', '2', '4', '8']"
ارك,2,11,23,3,3,"['1', '2', '8']"
ارم,2,11,25,3,1,['1']
ارى,2,11,29,3,5,"['1', '2', '4', '5', '8']"
از,2,12,0,2,3,"['1', '5', '8']"
ازب,2,12,3,3,1,['1']
ازج,2,12,6,3,1,['2']
ازر,2,12,11,3,5,"['1', '2', '3', '5', '8']"
ازف,2,12,21,3,4,"['1', '4', '5', '6']"
ازق,2,12,22,3,3,"['1', '5', '10']"
ازل,2,12,24,3,3,"['1', '4', '5']"
ازم,2,12,25,3,2,"['1', '5']"
ازى,2,12,29,3,4,"['2', '3', '4', '5']"
اس,2,13,0,2,2,"['1', '2']"
اسب,2,13,3,3,1,['4']
اسد,2,13,9,3,5,"['1', '2', '4', '5', '10']"
اسر,2,13,11,3,6,"['1', '2', '4', '5', '8', '10']"
اسف,2,13,21,3,3,"['1', '4', '5']"
اسك,2,13,23,3,1,['1']
اسل,2,13,24,3,2,"['2', '5']"
اسم,2,13,25,3,1,['1']
اسن,2,13,26,3,1,['1']
اسو,2,13,28,3,8,"['1', '2', '3', '4', '5', '6', '8', 'Q.Q.1']"
اسى,2,13,29,3,1,['1']
اشب,2,14,3,3,4,"['1', '2', '5', '8']"
اشر,2,14,11,3,4,"['1', '2', '8', '10']"
اشك,2,14,23,3,1,['1']
اشن,2,14,26,3,1,['5']
اصد,2,15,9,3,2,"['2', '4']"
اصر,2,15,11,3,3,"['1', '3', '6']"
اصل,2,15,24,3,5,"['1', '2', '4', '5', '10']"
اط,2,17,0,2,2,"['1', '5']"
اطر,2,17,11,3,4,"['1', '2', '5', '7']"
اف,2,21,0,2,3,"['1', '2', '5']"
افخ,2,21,8,3,1,['1']
افق,2,21,22,3,2,"['1', '5']"
افك,2,21,23,3,4,"['1', '2', '4', '8']"
افل,2,21,24,3,1,['1']
اقط,2,22,17,3,3,"['1', '4', '8']"
اكد,2,23,9,3,4,"['1', '2', '4', '5']"
اكف,2,23,21,3,2,"['2', '4']"
اكل,2,23,24,3,7,"['1', '2', '3', '4', '5', '8', '10']"
اكم,2,23,25,3,2,"['2', '10']"
الب,2,24,3,3,3,"['1', '2', '5']"
الت,2,24,4,3,3,"['1', '3', '4']"
الف,2,24,21,3,6,"['1', '2', '3', '4', '5', '8']"
الق,2,24,22,3,3,"['1', '5', '8']"
الك,2,24,23,3,4,"['1', '4', '5', '10']"
الم,2,24,25,3,3,"['1', '4', '5']"
اله,2,24,27,3,3,"['1', '2', '5']"
الو,2,24,28,3,5,"['1', '2', '4', '5', '8']"
الى,2,24,29,3,1,['1']
ام,2,25,0,2,6,"['1', '2', '3', '5', '8', '10']"
امت,2,25,4,3,2,"['1', '2']"
امد,2,25,9,3,2,"['1', '2']"
امر,2,25,11,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
امل,2,25,24,3,3,"['1', '2', '5']"
امن,2,25,26,3,5,"['1', '2', '4', '8', '10']"
امه,2,25,27,3,2,"['1', '5']"
ان,2,26,0,2,1,['1']
انب,2,26,3,3,1,['2']
انث,2,26,5,3,4,"['1', '2', '4', '5']"
انح,2,26,7,3,1,['1']
انس,2,26,13,3,6,"['1', '2', '3', '4', '5', '10']"
انف,2,26,21,3,6,"['1', '2', '4', '5', '8', '10']"
انق,2,26,22,3,4,"['1', '2', '4', '5']"
انى,2,26,29,3,5,"['1', '2', '4', '5', '10']"
اه,2,27,0,2,2,"['1', '2']"
اهب,2,27,3,3,2,"['2', '5']"
اهل,2,27,24,3,6,"['1', '2', '4', '5', '8', '10']"
اوب,2,28,3,3,6,"['1', '2', '3', '5', '8', 'Q.Q.1']"
اود,2,28,9,3,5,"['1', '2', '5', '6', '7']"
اوف,2,28,21,3,1,['1']
اول,2,28,24,3,5,"['1', '2', '5', '8', '10']"
اون,2,28,26,3,3,"['1', '2', '5']"
اوه,2,28,27,3,2,"['1', '5']"
اوى,2,28,29,3,7,"['1', '2', '4', '5', '6', '8', '10']"
اى,2,29,0,2,3,"['2', '5', '6']"
ايد,2,29,9,3,5,"['1', '2', '3', '4', '5']"
اير,2,29,11,3,1,['1']
ايس,2,29,13,3,3,"['1', '2', '4']"
ايض,2,29,16,3,1,['1']
ايك,2,29,23,3,2,"['1', '10']"
ايم,2,29,25,3,5,"['1', '2', '4', '5', '8']"
اين,2,29,26,3,1,['1']
ايه,2,29,27,3,1,['2']
بآ,3,1,0,2,2,"['R.Q.1', 'R.Q.2']"
بآر,3,1,11,3,3,"['1', '4', '8']"
بآس,3,1,13,3,5,"['1', '4', '5', '6', '8']"
بت,3,4,0,2,5,"['1', '2', '4', '5', '7']"
بتر,3,4,11,3,4,"['1', '4', '5', '7']"
بتع,3,4,19,3,1,['1']
بتك,3,4,23,3,4,"['1', '2', '5', '7']"
بتل,3,4,24,3,6,"['1', '2', '5', '7', '8', '10']"
بث,3,5,0,2,8,"['1', '2', '3', '4', '6', '7', '10', 'R.Q.1']"
بثر,3,5,11,3,3,"['1', '2', '5']"
بثق,3,5,22,3,3,"['1', '2', '7']"
بجح,3,6,7,3,6,"['1', '2', '4', '5', '6', '8']"
بجد,3,6,9,3,2,"['1', '2']"
بجر,3,6,11,3,1,['1']
بجس,3,6,13,3,4,"['1', '2', '5', '7']"
بجل,3,6,24,3,3,"['1', '2', '4']"
بح,3,7,0,2,5,"['1', '4', '8', 'R.Q.1', 'R.Q.2']"
بحت,3,7,4,3,2,"['1', '3']"
بحث,3,7,5,3,6,"['1', '3', '5', '6', '8', '10']"
بحثر,3,7,5,4,2,"(1) ['Q.1', 'Q.2']"
بحر,3,7,11,3,5,"['1', '2', '4', '5', '10']"
بخ,3,8,0,2,1,['R.Q.1']
بخت,3,8,4,3,3,"['1', '2', 'Q.Q.2']"
بختر,3,8,4,4,2,"(1) ['Q.1', 'Q.2']"
بخر,3,8,11,3,4,"['1', '2', '4', '5']"
بخس,3,8,13,3,2,"['1', '6']"
بخص,3,8,15,3,1,['1']
بخع,3,8,19,3,1,['1']
بخق,3,8,22,3,3,"['1', '4', '7']"
بخل,3,8,24,3,3,"['1', '2', '4']"
بد,3,9,0,2,9,"['1', '2', '3', '4', '5', '6', '8', '10', 'R.Q.1']"
بدآ,3,9,1,3,4,"['1', '4', '5', '8']"
بدر,3,9,11,3,6,"['1', '3', '4', '6', '8', 'Q.Q.1']"
بدع,3,9,19,3,6,"['1', '2', '4', '5', '8', '10']"
بدل,3,9,24,3,7,"['1', '2', '3', '4', '5', '6', '10']"
بدن,3,9,26,3,2,"['1', '2']"
بده,3,9,27,3,5,"['1', '2', '3', '6', '8']"
بدو,3,9,28,3,6,"['1', '2', '3', '4', '5', '6']"
بدى,3,9,29,3,1,['1']
بذ,3,10,0,2,4,"['1', '3', '8', '10']"
بذآ,3,10,1,3,3,"['1', '3', '4']"
بذخ,3,10,8,3,3,"['1', '3', '5']"
بذر,3,10,11,3,4,"['1', '2', '3', '5']"
بذل,3,10,24,3,4,"['1', '5', '8', '10']"
بذو,3,10,28,3,3,"['1', '3', '4']"
بر,3,11,0,2,6,"['1', '3', '4', '5', '6', 'R.Q.1']"
برآ,3,11,1,3,7,"['1', '2', '3', '4', '5', '6', '10']"
برج,3,11,6,3,4,"['1', '2', '4', '5']"
برح,3,11,7,3,4,"['1', '2', '4', '5']"
